timestamp	tables	annotations	pct_tables	eta_hours
2026-06-08 19:17:59	222	23251	26.8	?
2026-06-08 20:17:36	231	24257	27.9	2
2026-06-08 20:17:56	231	24257	27.9	2
2026-06-08 21:17:33	239	25312	28.9	4
2026-06-08 21:17:52	239	25312	28.9	4
2026-06-08 22:17:29	248	26360	30.0	6
2026-06-08 22:17:49	248	26360	30.0	6
2026-06-08 23:17:22	257	27372	31.1	8
2026-06-08 23:17:42	257	27372	31.1	8
2026-06-09 00:17:12	268	28536	32.4	10
2026-06-09 00:17:31	268	28536	32.4	10
2026-06-09 01:16:57	276	29501	33.4	11
2026-06-09 01:17:16	276	29501	33.4	11
2026-06-09 02:16:15	283	30392	34.2	13
2026-06-09 02:16:34	284	30539	34.3	13
2026-06-09 03:15:32	291	31566	35.2	14
2026-06-09 03:15:51	291	31566	35.2	14
2026-06-09 04:15:23	300	32497	36.3	15
2026-06-09 04:15:43	300	32497	36.3	15
2026-06-09 05:15:22	311	33465	37.6	16
2026-06-09 05:15:42	311	33465	37.6	16
2026-06-09 06:15:23	319	34363	38.6	17
2026-06-09 06:15:42	319	34363	38.6	17
2026-06-09 07:15:24	335	35490	40.5	17
2026-06-09 07:15:43	335	35490	40.5	17
2026-06-09 08:15:25	347	36573	42.0	17
2026-06-09 08:15:45	347	36573	42.0	17
2026-06-09 09:15:27	358	37518	43.3	18
2026-06-09 09:15:47	358	37518	43.3	18
